"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",6969903,2712176,7245235,2931728,0.38912679272581,0.404642223475153,0.396884508100481
"R",22970486,9709759,24774719,10495769,0.422705858291374,0.423648357020719,0.423177107656047
"T",29940389,12421935,32019954,13427496,0.414888898070095,0.419347760462117,0.417118329266106
