"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",299965,10183,292156,7925,0.0339472938509493,0.0271259190295596,0.0305366064402544
"R",1002346,48870,978329,38034,0.0487556193170821,0.0388764924682801,0.0438160558926811
"T",1302311,59052,1270485,45959,0.0453440076909433,0.0361743743531014,0.0407591910220223
