"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",67401,20256,65203,18537,0.300529665731962,0.284296734812815,0.292413200272389
"R",273762,67674,252499,61929,0.247200122734346,0.245264337680545,0.246232230207446
"T",341163,87931,317702,80466,0.257738969348962,0.253275081680317,0.255507025514639
