"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",217532,53823,185915,43359,0.247425666108894,0.233219482021354,0.240322574065124
"R",830477,181904,677222,146539,0.219035566307074,0.21638251563003,0.217709040968552
"T",1048009,235727,863137,189898,0.224928411874325,0.220009106318,0.222468759096163
