"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",190727,100419,189924,95471,0.526506472602201,0.502680019376172,0.514593245989186
"R",757875,339382,710883,322659,0.447807356094343,0.453884816488789,0.450846086291566
"T",948602,439801,900807,418130,0.463630690215707,0.464172680718511,0.463901685467109
