"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",33144,7517,32807,8150,0.226798213854695,0.248422592739354,0.237610403297025
"R",118462,23151,125864,25102,0.195429758065878,0.199437488082375,0.197433623074126
"T",151606,30668,158671,33252,0.202287508409957,0.209565705138305,0.205926606774131
