"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",91239,34317,102414,39846,0.376122053069411,0.389067900872928,0.382594976971169
"R",329600,112232,384448,130314,0.340509708737864,0.33896391709672,0.339736812917292
"T",420839,146549,486862,170160,0.348230558479609,0.349503555422276,0.348867056950942
