"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",21437,4413,24243,3981,0.205859028782012,0.164212349956689,0.18503568936935
"R",75599,16001,82950,14434,0.211656238839138,0.174008438818565,0.192832338828852
"T",97036,20414,107193,18415,0.210375530730863,0.171792934240109,0.191084232485486
