"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",41691,7978,40012,8560,0.19136024561656,0.213935819254224,0.202648032435392
"R",137498,24421,136803,26201,0.177609856143362,0.191523577699319,0.184566716921341
"T",179189,32399,176815,34761,0.180809089843685,0.196595311483754,0.188702200663719
