"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",98079,27079,101289,29808,0.276093761151725,0.294286645144093,0.285190203147909
"R",334991,90326,359484,99429,0.269637094727918,0.276588109623794,0.273112602175856
"T",433070,117406,460773,129237,0.271101669476066,0.280478673880631,0.275790171678349
