"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",89163,35222,94388,35433,0.395029328308828,0.375397296266475,0.385213312287651
"R",304147,117487,318254,118192,0.386283606282488,0.371376322057225,0.378829964169857
"T",393310,152709,412642,153625,0.38826625308281,0.372296082318329,0.38028116770057
