"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",643825,92024,618660,89421,0.142933250495088,0.144539811851421,0.143736531173254
"R",2798701,465039,2716285,451885,0.166162444648428,0.166361409056855,0.166261926852642
"T",3442526,557063,3334945,541306,0.161818095201024,0.16231332150905,0.162065708355037
