"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",217193,15396,210314,15081,0.0708862624486056,0.0717070665766425,0.0712966645126241
"R",942860,77801,928907,76212,0.0825159620728422,0.0820448118057028,0.0822803869392725
"T",1160053,93197,1139221,91293,0.0803385707377163,0.0801363387788673,0.0802374547582918
