"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",37795,8563,38741,9564,0.226564360365128,0.246870240830128,0.236717300597628
"R",136565,37151,143336,41496,0.272038955808589,0.289501590668081,0.280770273238335
"T",174360,45713,182077,51060,0.262175957788484,0.280430806746596,0.27130338226754
