"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",38460,9608,39387,10623,0.249817992719709,0.269708279381522,0.259763136050615
"R",141456,40726,147904,45031,0.287905779889153,0.304461001730852,0.296183390810003
"T",179916,50334,187291,55654,0.279763889815247,0.297152559386196,0.288458224600721
