"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",14265,4096,14788,3742,0.287136347704171,0.253043007844198,0.270089677774185
"R",52425,15027,51515,13731,0.286638054363376,0.266543725128603,0.27659088974599
"T",66690,19123,66303,17473,0.286744639376218,0.263532570170279,0.275138604773249
