"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",450468,38718,422162,34758,0.0859506113641813,0.0823333222791251,0.0841419668216532
"R",1828641,473819,1699505,425350,0.259109907302746,0.250278757638253,0.2546943324705
"T",2279109,512538,2121667,460107,0.224885251210012,0.216861081404386,0.220873166307199
