"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",218407,12241,222520,11349,0.0560467384287134,0.0510021571094733,0.0535244477690933
"R",886720,146390,900874,135732,0.165091573439192,0.150667018917185,0.157879296178188
"T",1105127,158631,1123394,147081,0.14354096859456,0.130925570191758,0.137233269393159
