"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",128873,4609,125467,8260,0.0357638915831865,0.0658340440115728,0.0507989677973797
"R",435215,23206,452676,41588,0.053320772491757,0.0918714488950154,0.0725961106933862
"T",564088,27816,578143,49848,0.0493114549502914,0.0862208830687217,0.0677661690095066
