"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",1207186,242117,1292720,254969,0.200563127803006,0.197234513274336,0.198898820538671
"R",5765114,1234357,6031641,1299883,0.214107995089082,0.215510671142397,0.21480933311574
"T",6972300,1476474,7324361,1554852,0.211762832924573,0.212285003428968,0.212023918176771
