"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",3438369,745586,3561064,768505,0.216842927562458,0.215807691184433,0.216325309373445
"R",14562034,3136343,15016965,3232752,0.215378085231775,0.215273325868443,0.215325705550109
"T",18000403,3881929,18578029,4001258,0.215657893881598,0.215375807627386,0.215516850754492
