"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",1587622,324737,1530276,304527,0.204543020945792,0.199001356618022,0.201772188781907
"R",7972870,1655574,7507344,1552539,0.207650946271543,0.206802698797338,0.207226822534441
"T",9560492,1980311,9037620,1857067,0.207134842014407,0.20548186358798,0.206308352801193
