"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",150144,3831,159920,0,0.0255155051150895,0,0.0127577525575448
"R",536142,19286,542101,0,0.0359718134374848,0,0.0179859067187424
"T",686286,23116,702021,0,0.0336827503402372,0,0.0168413751701186
