"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",773390,181812,828762,212398,0.235084498118672,0.256283468595327,0.245683983356999
"R",2492628,606458,2856309,708483,0.243300644941804,0.248041440894525,0.245671042918165
"T",3266018,788270,3685071,920881,0.241355069078003,0.249895049511936,0.245625059294969
