"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",1039988,222489,923115,199976,0.21393419924076,0.216631730607779,0.21528296492427
"R",3408630,742142,3033453,667046,0.217724423008657,0.219896599683595,0.218810511346126
"T",4448618,964631,3956568,867022,0.216838352944667,0.219134866379145,0.217986609661906
