"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",135398,24324,142186,27898,0.17964814842169,0.196207784170031,0.18792796629586
"R",482806,81136,508204,93059,0.168050935572466,0.183113474116693,0.17558220484458
"T",618204,105460,650390,120957,0.170590937619297,0.185976106643706,0.178283522131502
