"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",50874,7521,55651,7387,0.147835829696898,0.132737956191263,0.140286892944081
"R",202272,37286,223862,36624,0.184335943679797,0.16360078977227,0.173968366726034
"T",253146,44807,279513,44011,0.17700062414575,0.157456003835242,0.167228313990496
