"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",67280,10272,79807,14224,0.152675386444709,0.178229979826331,0.16545268313552
"R",271272,36516,320363,50567,0.134610280456516,0.157842822048738,0.146226551252627
"T",338552,46788,400170,64791,0.138200335546681,0.161908688807257,0.150054512176969
